Age_Group,Athlete_Country,Athlete_CountryCode,Athlete_ID,Athlete_Name,Competition,Competition_Group,Competition_ID,Date_of_Birth,End_Date,Event,Gender,Heat,last_updated,Personal_Best,Position,Ranking,Result,Round,Row_id,Stadium,Start_Date,Venue,Venue_Country,Venue_CountryCode
,Afghanistan,AFG,men/617023,Sha Mahmood Noor Zahi,33rd Olympic Games,Olympic Games,13079218,21/03/1991 00:00,11/08/2024 00:00,100m,Men,Prelim 1,08/09/2024 07:12,PB,4,OW,10.64,Preliminary round,17517100,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Afghanistan,AFG,women/172409,Kimia Yousufi,33rd Olympic Games,Olympic Games,13079218,20/05/1996 00:00,11/08/2024 00:00,100m,Women,Prelim 3,08/09/2024 07:13,,9,OW,13.42,Preliminary round,17518838,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Albania,ALB,men/276978,Franko Burraj,33rd Olympic Games,Olympic Games,13079218,19/08/1998 00:00,11/08/2024 00:00,100m,Men,Heat 4,08/09/2024 07:12,,8,OW,10.66,Heats,17517060,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Albania,ALB,men/276978,Franko Burraj,33rd Olympic Games,Olympic Games,13079218,19/08/1998 00:00,11/08/2024 00:00,100m,Men,Prelim 3,08/09/2024 07:12,PB,2,OW,10.6,Preliminary round,17517112,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Albania,ALB,women/44491,Luiza Gega,33rd Olympic Games,Olympic Games,13079218,05/11/1988 00:00,11/08/2024 00:00,3000m Steeplechase,Women,Heat 2,08/09/2024 07:13,,9,OW,09:27.4,Heats,17519484,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/125744,Bilal Tabti,33rd Olympic Games,Olympic Games,13079218,07/06/1993 00:00,11/08/2024 00:00,3000m Steeplechase,Men,Heat 1,08/09/2024 07:12,,12,OW,09:04.8,Heats,17517768,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/147484,Amine Bouanani,33rd Olympic Games,Olympic Games,13079218,17/10/1997 00:00,11/08/2024 00:00,110m Hurdles,Men,Heat 2,08/09/2024 07:12,,3,OW,13.54,Repechage Round,17517834,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/147484,Amine Bouanani,33rd Olympic Games,Olympic Games,13079218,17/10/1997 00:00,11/08/2024 00:00,110m Hurdles,Men,Heat 2,08/09/2024 07:12,,5,OW,13.58,Heats,17517858,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/147486,Yasser Triki,33rd Olympic Games,Olympic Games,13079218,24/03/1997 00:00,11/08/2024 00:00,Triple Jump,Men,,08/09/2024 07:12,,9,OW,17.22,,17518114,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/147486,Yasser Triki,33rd Olympic Games,Olympic Games,13079218,24/03/1997 00:00,11/08/2024 00:00,Triple Jump,Men,Qualification,08/09/2024 07:12,,9,OW,16.85,Qualification,17518126,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/210498,Slimane Moula,33rd Olympic Games,Olympic Games,13079218,25/02/1999 00:00,11/08/2024 00:00,800m,Men,Heat 1,08/09/2024 07:12,,2,OW,01:45.7,Repechage Round,17517379,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/210498,Slimane Moula,33rd Olympic Games,Olympic Games,13079218,25/02/1999 00:00,11/08/2024 00:00,800m,Men,Heat 6,08/09/2024 07:12,,8,OW,01:46.7,Heats,17517465,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/277892,Oussama Khennoussi,33rd Olympic Games,Olympic Games,13079218,28/12/1999 00:00,11/08/2024 00:00,Discus Throw,Men,Qualification,08/09/2024 07:12,,,OW,,Qualification,17518235,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/323373,Mohamed Ali Gouaned,33rd Olympic Games,Olympic Games,13079218,05/07/2002 00:00,11/08/2024 00:00,800m,Men,Heat 2,08/09/2024 07:12,,7,OW,01:47.3,Heats,17517428,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/323373,Mohamed Ali Gouaned,33rd Olympic Games,Olympic Games,13079218,05/07/2002 00:00,11/08/2024 00:00,800m,Men,Heat 2,08/09/2024 07:12,,8,OW,01:46.5,Semifinals,17517369,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/323373,Mohamed Ali Gouaned,33rd Olympic Games,Olympic Games,13079218,05/07/2002 00:00,11/08/2024 00:00,800m,Men,Heat 4,08/09/2024 07:12,'=PB,2,OW,01:44.4,Repechage Round,17517405,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/579001,Djamel Sedjati,33rd Olympic Games,Olympic Games,13079218,03/05/1999 00:00,11/08/2024 00:00,800m,Men,,08/09/2024 07:12,,3,OW,01:41.5,,17517348,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/579001,Djamel Sedjati,33rd Olympic Games,Olympic Games,13079218,03/05/1999 00:00,11/08/2024 00:00,800m,Men,Heat 1,08/09/2024 07:12,,1,OW,01:45.1,Semifinals,17517354,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,men/579001,Djamel Sedjati,33rd Olympic Games,Olympic Games,13079218,03/05/1999 00:00,11/08/2024 00:00,800m,Men,Heat 4,08/09/2024 07:12,,1,OW,01:45.8,Heats,17517440,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Algeria,ALG,women/243482,Zahra Tatar,33rd Olympic Games,Olympic Games,13079218,10/11/1992 00:00,11/08/2024 00:00,Hammer Throw,Women,Qualification,08/09/2024 07:13,,25,OW,66.99,Qualification,17519988,Stade de France,01/08/2024 00:00,Paris,France,FRA
,American Samoa,ASA,women/456066,Filomenaleonisa Iakopo,33rd Olympic Games,Olympic Games,13079218,10/02/2006 00:00,11/08/2024 00:00,100m,Women,Prelim 2,08/09/2024 07:13,PB,8,OW,12.78,Preliminary round,17518828,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Andorra,AND,men/216203,Nahuel Carabaña,33rd Olympic Games,Olympic Games,13079218,10/11/1999 00:00,11/08/2024 00:00,3000m Steeplechase,Men,Heat 2,08/09/2024 07:12,,7,OW,08:19.4,Heats,17517775,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Angola,ANG,men/693982,Marcos Santos,33rd Olympic Games,Olympic Games,13079218,15/01/2004 00:00,11/08/2024 00:00,100m,Men,Heat 4,08/09/2024 07:12,PB,7,OW,10.4,Heats,17517059,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Angola,ANG,men/693982,Marcos Santos,33rd Olympic Games,Olympic Games,13079218,15/01/2004 00:00,11/08/2024 00:00,100m,Men,Prelim 4,08/09/2024 07:12,PB,2,OW,10.31,Preliminary round,17517120,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Antigua & Barbuda,ANT,men/131636,Cejhae Greene,33rd Olympic Games,Olympic Games,13079218,06/10/1995 00:00,11/08/2024 00:00,100m,Men,Heat 8,08/09/2024 07:12,,4,OW,10.17,Heats,17517091,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Antigua & Barbuda,ANT,women/162044,Joella Lloyd,33rd Olympic Games,Olympic Games,13079218,12/04/2002 00:00,11/08/2024 00:00,100m,Women,Heat 8,08/09/2024 07:13,,7,OW,11.37,Heats,17518809,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,men/129163,Joaquín Gómez,33rd Olympic Games,Olympic Games,13079218,14/10/1996 00:00,11/08/2024 00:00,Hammer Throw,Men,Qualification,08/09/2024 07:12,,23,OW,72.1,Qualification,17518271,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,men/219205,Nazareno Sasia,33rd Olympic Games,Olympic Games,13079218,05/01/2001 00:00,11/08/2024 00:00,Shot Put,Men,Qualification,08/09/2024 07:12,,23,OW,19.33,Qualification,17518184,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,men/279683,Elián Larregina,33rd Olympic Games,Olympic Games,13079218,20/02/2000 00:00,11/08/2024 00:00,400m,Men,Heat 1,08/09/2024 07:12,,1,OW,45.36,Repechage Round,17517275,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,men/279683,Elián Larregina,33rd Olympic Games,Olympic Games,13079218,20/02/2000 00:00,11/08/2024 00:00,400m,Men,Heat 2,08/09/2024 07:12,,6,OW,45.02,Semifinals,17517264,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,men/279683,Elián Larregina,33rd Olympic Games,Olympic Games,13079218,20/02/2000 00:00,11/08/2024 00:00,400m,Men,Heat 4,08/09/2024 07:12,,6,OW,47.8,Heats,17517329,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,women/200259,Daiana Ocampo,33rd Olympic Games,Olympic Games,13079218,16/02/1991 00:00,11/08/2024 00:00,Marathon,Women,,08/09/2024 07:13,,41,OW,02:32:02,,17519398,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,women/65292,Florencia Borelli,33rd Olympic Games,Olympic Games,13079218,30/10/1992 00:00,11/08/2024 00:00,Marathon,Women,,08/09/2024 07:13,,21,OW,02:29:29,,17519378,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Argentina,ARG,women/76112,Belén Casetta,33rd Olympic Games,Olympic Games,13079218,26/09/1994 00:00,11/08/2024 00:00,3000m Steeplechase,Women,Heat 3,08/09/2024 07:13,,11,OW,09:34.8,Heats,17519498,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Armenia,ARM,men/165524,Yervand Mkrtchyan,33rd Olympic Games,Olympic Games,13079218,11/06/1996 00:00,11/08/2024 00:00,800m,Men,Heat 2,08/09/2024 07:12,,8,OW,01:50.1,Repechage Round,17517394,Stade de France,01/08/2024 00:00,Paris,France,FRA
,Armenia,ARM,men/165524,Yervand Mkrtchyan,33rd Olympic Games,Olympic Games,13079218,11/06/1996 00:00,11/08/2024 00:00,800m,Men,Heat 3,08/09/2024 07:12,PB,9,OW,01:49.9,Heats,17517439,Stade de France,01/08/2024 00:00,Paris,France,FRA
