Discipline,Gender,Rank Ordinal,#,Name,Sail,Eliminations (Disc),Final,Points,Sponsors,Event Date,Event Disciplines,Event Location
Wave,Men,1st,1,Marino Gil Gherardi,E-959,0,1,10000,"JP, NeilPryde",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,2nd,2,Julian Salmonn,G-901,2,2,8500,"Bruch Boards, GUNSAILS",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,3rd,3,Philip Köster,G-44,3,3,7650,"Severne Windsurfing, Severne Windsurfing, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,4th,4,Dieter Van der Eyken,B-35,4,4,6885,"Severne Windsurfing, Severne Windsurfing, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,5th,5,Liam Dunkerbeck Morales,E-11,5,5,6115,"Starboard, Severne Windsurfing, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,6th,5,Robby Swift,K-89,5,5,6115,"JP Australia, NeilPryde",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,7th,7,Ricardo Campello,V-111,7,7,5450,Aeron,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,8th,8,Alessio Stillrich,E-95,8,8,5040,Simmer Style,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,9th,9,Marcilio Browne,BRA-105,9,9,4790,"Goya Windsurfing, Goya Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,10th,10,Victor Fernandez,E-42,10,10,4550,Duotone,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,11th,11,Moritz Mauch,G-103,11,11,4320,"Severne Windsurfing, Severne Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,12th,12,Miguel Chapuis,E-99,12,12,4105,"Flikka, North Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,13th,13,Takuma Sugi,J-7,13,13,3803,"Tabou Boards, GA Sails, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,14th,13,Lennart Neubauer,GRE-734,13,13,3803,"Starboard, Severne Windsurfing, Maui Ultra Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,15th,15,Antoine Martin,F-193,15,15,3433,"Starboard, North Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,15th,15,Carlos Kiefer Quintana,E-242,15,15,3433,Duotone,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,17th,17,Samuele Ferraro,I-505,18,18,2946,"Patrik Boards, Patrik Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,17th,17,Takara Ishii,J-20,18,18,2946,RRD,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,17th,17,Antoine Albert,NC-21,18,18,2946,Goya Windsurfing,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,17th,17,Adam Warchol,POL-111,18,18,2946,"Quatro International, Goya Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,21st,21,Leon Jamaer,G-208,22,22,2400,"Flikka, GUNSAILS",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,21st,21,Arthur Arutkin,F-7,22,22,2400,"Duotone, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,21st,21,Thomas Traversa,F-3,22,22,2400,"Tabou Boards, GA Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,21st,21,Antony Ruenes,F-85,22,22,2400,"Tabou Boards, GA Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,25th,25,Gregory Stathopoulos,GRE-73,26,26,1954,Goya Windsurfing,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,25th,25,Josep Pons,E-203,26,26,1954,Point-7,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,25th,25,Michael Friedl Morales,E-255,26,26,1954,"Quatro International, Goya Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,25th,25,Morgan Noireaux,HI-101,26,26,1954,"JP, NeilPryde, Black Project Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,29th,29,Federico Morisio,I-676,30,30,1591,"Starboard, Severne Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,29th,29,Tomer Shamgar,ISR-13,30,30,1591,"Future Fly Boards, RRD",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,29th,29,Daniel Bruch,G-1181,30,30,1591,Bruch Boards,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,29th,29,Titouan Flechet,F-47,30,30,1591,"Tabou Boards, Hot Sails Maui",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Anton Richter,G-6,36,36,1177,"JP Australia, NeilPryde, Maui Ultra Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,José Romero,E-45,36,36,1177,", Challenger Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Marc Alonso,E-0,36,36,1177,F2,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Henri Kolberg,G-45,36,36,1177,"Naish Boards, Naish Sails, Maui Ultra Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Tobias Bjørnaa,D-36,36,36,1177,Duotone,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Laurin Schmuth,G-878,36,36,1177,Goya Windsurfing,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Simon Thule,DEN-134,36,36,1177,"Patrik Boards, Patrik Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,33rd,33,Hayata Ishii,J-27,36,36,1177,RRD,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Kymani Laurent,GPE-1,44,44,781,"Tabou Boards, GA Sails",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Ryu Noguchi,J-39,44,44,781,"Starboard, Severne Windsurfing",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Marlon Maethner,G-31,44,44,781,Duotone,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Nick Spangenberg,G-141,44,44,781,"JP Australia, GUNSAILS, Maui Ultra Fins",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Tim van Dam Sanchidrian,E-510,44,44,781,"Bruch Boards, GUNSAILS",Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Lucas Meldrum,K-90,44,44,781,Duotone,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
Wave,Men,41st,41,Esteban De Cruz,F-3003,44,44,781,Severne Windsurfing,Jun 29 - Jul 07 2024,"Men Wave, Women Wave, Men Slalom X, Women Slalom X",Gran Canaria Pozo Izquierdo
