Heat ID,Heat No,Wave Count,Jumps Count,Wave Factor,Jump Factor,Heatsheet ID,Category,Sailor Name,Sail Number,Total Wave,Total Jump,Total Points,Position,Type,Score,Counting
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,Wave,5.12,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,Wave,5.38,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,Wave,2.25,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,Wave,7.75,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,Wave,5.50,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,B ,5.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,2xF,7.38,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,B ,4.62,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,B ,3.95,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,B ,6.38,No
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,PF,9.00,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Browne,BRA-105,13.25,16.38,29.63,1,2xF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,Wave,6.38,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,Wave,4.62,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,B ,4.38,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,2xF,3.38,No
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,B ,3.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,F,1.62,No
1657_28a,28a,2,2,1,1,1657_28a,857,Stathapoulos,GRE-73,11.0,9.0,20.0,2,F,4.62,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,Wave,3.88,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,B ,3.62,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,2xF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,B ,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,PF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,B ,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,B ,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,2xF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Ishii,J-27,3.88,5.74,9.62,3,2xF,2.12,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,Wave,3.38,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,Wave,0.62,No
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,Wave,1.12,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,2xF,0.50,Yes
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,2xF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,2xF,0.50,No
1657_28a,28a,2,2,1,1,1657_28a,857,Noguchi,J-39,4.5,0.5,5.0,4,2xF,0.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,0.88,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,0.88,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,3.25,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,6.00,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,5.12,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,1.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,Wave,3.38,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,B ,3.88,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,P,3.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,P,4.00,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Warchol,Pol-111,11.12,7.88,19.0,1,F,2.12,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,Wave,2.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,Wave,3.62,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,Wave,1.38,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,Wave,3.88,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,Wave,2.25,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,F,4.12,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,B ,4.00,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,F,2.00,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,B ,4.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,B ,5.88,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,F,4.32,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Morisio,I-676,7.5,10.2,17.7,2,B ,0.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Schmuth,G-878,3.26,7.24,10.5,3,Wave,1.38,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Schmuth,G-878,3.26,7.24,10.5,3,Wave,0.50,No
1657_29a,29a,2,2,1,1,1657_29a,857,Schmuth,G-878,3.26,7.24,10.5,3,Wave,1.88,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Schmuth,G-878,3.26,7.24,10.5,3,B ,4.12,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,Schmuth,G-878,3.26,7.24,10.5,3,F,3.12,Yes
1657_29a,29a,2,2,1,1,1657_29a,857,van Dam Sanchidrian,E-51,3.24,4.47,7.71,4,Wave,0.50,No
